wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2O014AT026, ,61.388,-140.055,0.16,0.16,0.16,0.7, , ,0.7,0.4,0.1, , , ,2560,2350,2350,2470,2370,2360, W, W,6
CA2O016CC041, ,59.884,-135.602, , , , , , ,0.4,4.1,0.2, , , ,2290,1580,1830,2130,2000,1940, NE, NE,6
CA2N001FM107, ,56.561,-131.543,0.03,0.03,0.03,0.1, ,10,0.1, , , , , ,1190,1130,1130,1160, , , NE, NE,7
CA2N001EA527, ,57.886,-132.176,0.15,0.15,0.15,0.7, ,10,0.7,0.2, , , , ,1646,1448,1448,1480, , , SE, SE,7
CA2N001CC201, ,57.264,-129.283,0.05,0.05,0.05,0.4, ,10,0.4,0.2, , , , ,1829,1707,1707,1753, , , N, N,7
CA2O016CD128, ,60.045,-136.129, , , ,0.8, , ,0.5,0.2,0.5, , , ,2150,1965,1995,2135,2070,2025, N, N,6
CA2N001CC438, ,57.096,-129.497,0.62,0.62,0.62,0.6, ,25,0.6,0.2,0.1, , , ,2103,1737,1737,1935,1859,1798, NE, NE,6
CA2N001FA196, ,56.894,-131.939,0.07,0.07,0.07,0.2, ,10,0.2,0.2, , , , ,1160,760,760,960, , , E, E,7
CA2O014AN120, ,60.907,-139.151,7.45,7.45,7.45,0.9, , ,0.9,4.5,0.6, , , ,3050,1800,1910,2740,2420,2110, NW, NW,5
CA2N001FH164, ,57.368,-131.627,0.18,0.18,0.18,0.7, ,10,0.7, , , , , ,1740,1280,1280,1615, , , N, N,6
CA2O016CC093, ,60.166,-135.845, , , ,0.7, , , ,0.2,0.7, , , ,1735,1665, , , ,1675, , NE,9
CA2N001GG049, ,57.214,-130.459,0.09,0.09,0.09,0.6, ,10,0.6, , , , , ,1835,1644,1644,1750, , , NW, NW,7
CA2N001FC046, ,57.058,-131.907,0.02,0.02,0.02,0.2, ,10,0.2,0.2, , , , ,1200,1050,1050,1100, , , N, N,7
CA2N001FG065, ,57.484,-131.824,0.05,0.05,0.05,0.4, ,10,0.4, , , , , ,1189,884,884,1052, , , E, E,6
CA2O014AS049, ,61.073,-140.225,16.17,16.17,16.17,1, , ,0.9, ,0.2, , , ,5060,2550,2550,3500, , , NE, NE,7
CA2A72000011, ,64.375,-131.25, , , , , , , , , , ,250000, ,2250,1950, , , , , , ,0
CA2A48000308, ,61.875,-127.75, , , , , , , , , , ,250000, ,2230,1900, , , , , , ,0
CA2N002EB017, ,59.458,-136.577, , , ,0.3, , ,0.3, , , , , ,1520,1340,1340,1430, , , E, E,7
CA2N001FC145, ,57.123,-131.781,0.23,0.23,0.23,0.8, ,10,0.8,0.2, , , , ,1010,670,670,780, , , NE, NE,7
CA2N001AD330, ,57.441,-128.93,0.13,0.13,0.13,0.6, ,10,0.3, , , , , ,2073,1859,1981,2012, , , N, N,6
CA2N001CB209, ,57.277,-129.01,0.13,0.13,0.13,0.2, ,10,0.2, , , , , ,1814,1676,1676,1753, , , NE, NE,6
CA2O00800125, ,63.375,-130.25, , , , , , , , , , ,250000, ,2430,1990, , , , , , ,0
CA2O016CC030, ,59.813,-135.519, , , ,0.5, , ,0.6,4.2,0.6, , , ,2290,1230,1230,1920,1830,1370, NE, N,5
CA2N001EF102, ,57.431,-131.234,0.71,0.71,0.71,0.8, ,25,0.8,0.2,0.2, , , ,2073,1402,1402,1859, ,1951, SE, SE,6
CA2N003CB050, ,60.027,-137.331, , , ,0.6, , , ,0.4,0.6, , , ,1220,1100, , , ,1160, , N,9
CA2N003CA051, ,59.595,-137.391, , , ,0.8, , ,0.7,0.4,0.1, , , ,1690,1370,1430,1600,1435,1432, N, N,6
CA2N003CE008, ,59.765,-136.75, , , ,0.5, , ,0.7,0.4,0.9, , , ,2040,1360,1550,1830,1650,1600, E, E,5
CA2N001GG043, ,57.237,-130.418,0.05,0.05,0.05,0.6, ,10,0.6, , , , , ,1798,1417,1417,1600, , , N, N,7
CA2N001GF057, ,57.036,-130.931,12.31,12.31,11.83,0.5, ,150,0.6,2.4,0.3, , , ,1930,935,942,1613,1330,1151, NE, NE,5
